No;Name;Chapter;Episode;Year;Note
1340;Vista;0552;0000;2009;His name was revealed by Mihawk in Chapter 561.
1341;Vitan;0553;;2009;His name was revealed in the Green databook.
1342;Vito;0812;0763;2016;
1343;Wadatsumi;0606;0525;2010;He was formally introduced in Chapter 613.
1344;Wakasa;0915;0901;2018;Her name was revealed in Vivre Card.
1345;Wall Zombie;0452;0346;2007;
1346;Wallace;0552;0461;2009;His name was revealed in One Piece Magazine Vol.2.
1347;Wallem;0561;0470;2009;His name was revealed in the Green databook.
1348;Wanda;0804;0753;2015;
1349;Wany;0804;0753;2015;
1350;Wanyudo;1005;1021;2021;His name was reveled in Chapter 1020.
1351;Wanze;0367;0257;2005;He was first mentioned by Corgi in Chapter 362.
1352;Wapol;0131;0079;2000;
1353;Warashi;0269;0176;2003;His name was revealed in the Blue Deep databook.
1354;Warazane;0931;0925;2019;Its name was revealed in Vivre Card.
1355;Waruno Furishiro;0926;0918;2018;His name was revealed in Vivre Card.
1356;Wellington;0763;0702;2014;
1357;Wheel;0906;0884;2018;His name was revealed in Vivre Card.
1358;Whitey Bay;0556;0462;2009;
1359;Who's-Who;0977;0982;2020;His name and appearance were revealed in Chapter 978. He appeared shadowed in the anime in Episode 954.
1360;Wicca;0705;0635;2013;Her name and appearance revealed in Chapter 711.
1361;Willie Gallon;0218;0144;2002;Mentioned only character. He was first mentioned in Chapter 218.
1362;Wire;0500;0394;2008;His name was revealed in the Blue Deep databook.
1363;Woop Slap;0001;0004;1997;His name was revealed in the Blue databook.
1364;Wyper;0237;0153;2002;His name was revealed in Chapter 249.
1365;X Drake;0498;0392;2008;
1366;Yama;0254;0167;2002;
1367;Yamakaji;0420;0302;2006;His name was revealed in the Yellow databook.
1368;Yamato;0971;0972;2020;He was first mentioned by Kaidou in Chapter 977. His name was revealed by Kaidou in Chapter 979.
1369;Yame;0917;0904;2018;Her name was revealed in Vivre Card.
1370;Yamenahare;0436;;2006;His name was revealed in SBS Volume 47.
1371;Yamon;;0966;2020;He was first mentioned in SBS Volume 96.
1372;Yarisugi;0673;0599;2012;
1373;Yasopp;0001;0004;1997;His name was revealed by Monkey D. Luffy in Chapter 25.
1374;Yatappe;0952;0946;2019;He first appeared as a silhouette in Chapter 940.
1375;Yazaemon;0931;0925;2019;His name was revealed in SBS Volume 97.
1376;Yokan;0915;0902;2018;His name was revealed in Vivre Card.
1377;Yokozuna;0322;0228;2004;
1378;Yomo;0806;0755;2016;His name was revealed by Pedro in Chapter 822.
1379;Yonka;0608;0527;2010;
1380;Yonka Two;0608;0527;2010;
1381;York;1065;1095;2022;Her name was first seen on a chart in Chapter 1062.
1382;Yorki;0103;0063;1999;His name was revealed in the Blue databook. He is then formally introduced by Brook in Chapter 486.
1383;Yosaku;0042;0020;1998;
1384;Yoshimoto;0157;0094;2000;His name was revealed in the Blue databook.
1385;Yotsubane;0269;0176;2003;His name was revealed in the Blue Deep databook.
1386;Yu;0098;0048;1999;Her name was revealed in the Blue databook.
1387;Yui;0966;0966;2020;His name was revealed in SBS Volume 96.
1388;Yuki;0129;0078;2000;Her name was revealed in the Blue databook.
1389;Yurikah;0151;;2000;Cover story character.
1390;Zabo;0241;0145;2002;His name revealed in Episode 145 credits.
1391;Zadie;0391;0275;2005;His name revealed in Color Walk 4.
1392;Zala;0160;0103;2000;"She was first mentioned by Nefertari Vivi in Chapter 155 as her alias ""Miss Doublefinger"". Her real name was revealed in Vivre Card."
1393;Zambai;0324;0230;2004;His name was revealed by Franky Family members in Chapter 330.
1394;Zanki;0991;1055;2020;His name was revealed in Chapter 1030.
1395;Zeff;0043;0020;1998;
1396;Zeo;0611;0530;2011;
1397;Zepo;0850;0815;2016;
1398;Zeus;0827;0786;2016;His name was revealed in Chapter 844. He was first identified in Chapter 845.
1399;Zodia;0553;0462;2009;His name was revealed in the Green databook.
1400;Zotto;0533;0434;2009;His name was revealed in the Vivre Card.
1401;Zucca;0564;0489;2009;His name was revealed in the Green databook.
1402;Zunesha;0802;0751;2015;
